Timestamp,Exercise,BodyPart,User_Rating_1_10,Perceived_Difficulty,Comment
2025-12-09 02:09:29,Paul Carter Incline Bench Press,Chest,-1,SKIPPED,User pressed Swap button
2025-12-09 02:09:46,Smith machine weighted push-up,Chest,-1,SKIPPED,User pressed Swap button
2025-12-10 11:57:10,Alternating sit-through with crunch,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-10 11:58:08,Alternating sit-through with crunch,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-10 12:11:44,Alternating sit-through with crunch,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-10 12:15:10,HM Alternating Bent-Over Quick Row,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-10 13:09:59,Spinal Stretch,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-10 13:10:10,Rhomboids SMR,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-10 13:10:12,Partner side plank band row,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-18 02:20:13,Spinal Stretch,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-18 02:20:23,Rhomboids SMR,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-18 02:20:27,Partner side plank band row,Middle Back,-1,SKIPPED,User pressed Swap button
2025-12-18 02:22:35,Band-assisted chin-up,Middle Back,8,Норма,
2025-12-18 02:27:49,Clapping Push-Up,Chest,-1,SKIPPED,User pressed Swap button
2025-12-18 02:30:24,Clapping Push-Up,Chest,-1,SKIPPED,User pressed Swap button
